Fecha,lvl_h2o,Anio,Mes,wse_incertidumbre,ancho_m,reach_id_usado
2024-04-16,77.3606,2024,4,0.81604,601.630748,61209100031
2024-04-16,58.9165,2024,4,0.09607,2241.222183,61207000171
2024-04-16,55.1397,2024,4,0.0928,1156.356474,61207000161
2024-04-21,55.7592,2024,4,0.12389,483.185191,61207000161
2024-04-21,58.3211,2024,4,0.09149,915.066779,61207000171
2024-04-21,75.2247,2024,4,0.14485,42.205415,61209100051
2024-04-21,78.2194,2024,4,0.09102,865.79922,61209100031
2024-05-12,57.961,2024,5,0.09557,682.949032,61207000161
2024-05-12,60.6789,2024,5,0.09586,509.20987,61207000171
2024-05-12,77.5369,2024,5,0.11097,101.153901,61209100051
2024-05-12,80.0817,2024,5,0.09081,1173.406653,61209100031
2024-05-28,76.3836,2024,5,0.10631,323.07249,61209100051
2024-05-28,78.7605,2024,5,0.8158,710.647253,61209100031
2024-05-28,59.9551,2024,5,0.15565,1812.417739,61207000171
2024-05-28,56.8238,2024,5,0.09158,1881.965086,61207000161
2024-06-01,57.2006,2024,6,0.09301,880.21479,61207000161
2024-06-01,59.8242,2024,6,0.09209,924.143609,61207000171
2024-06-01,79.2684,2024,6,0.09082,995.581852,61209100031
2024-06-01,77.0128,2024,6,0.10123,172.243407,61209100051
2024-06-18,76.5633,2024,6,0.09982,282.698432,61209100051
2024-06-18,79.0804,2024,6,0.78657,620.796504,61209100031
2024-06-18,60.8659,2024,6,0.13773,1958.059888,61207000171
2024-06-18,57.1096,2024,6,0.09174,1587.433575,61207000161
2024-06-22,57.4558,2024,6,0.09312,1006.878705,61207000161
2024-06-22,60.0873,2024,6,0.09224,740.016074,61207000171
2024-06-22,79.3393,2024,6,0.09087,1021.434891,61209100031
2024-06-22,76.3659,2024,6,0.10496,84.020685,61209100051
2024-07-09,77.0353,2024,7,0.095,449.793198,61209100051
2024-07-09,83.013,2024,7,0.79113,655.970003,61209100031
2024-07-09,65.7007,2024,7,0.10845,2683.304394,61207000171
2024-07-09,65.2514,2024,7,0.09579,1466.460871,61207000161
2024-07-30,75.2958,2024,7,0.10285,170.59075,61209100051
2024-07-30,77.7672,2024,7,0.81766,600.7616,61209100031
2024-07-30,68.7715,2024,7,0.10253,2315.415423,61207000171
2024-07-30,79.2588,2024,7,0.10086,1271.860572,61207000161
2024-08-03,56.082,2024,8,0.13626,83.288015,61207000161
2024-08-03,58.3543,2024,8,0.0917,781.26225,61207000171
2024-08-03,77.7907,2024,8,0.09108,831.131938,61209100031
2024-08-03,74.6966,2024,8,0.09961,115.220623,61209100051
2024-08-19,74.7018,2024,8,0.09917,164.20612,61209100051
2024-08-19,77.8029,2024,8,0.81594,636.529818,61209100031
2024-08-19,58.6489,2024,8,0.10365,2058.785691,61207000171
2024-08-19,56.1592,2024,8,0.09255,1431.89966,61207000161
2024-08-24,56.6151,2024,8,0.12624,198.359919,61207000161
2024-08-24,58.9725,2024,8,0.09625,470.863993,61207000171
2024-08-24,75.0969,2024,8,0.11105,109.315555,61209100051
2024-08-24,78.0116,2024,8,0.09115,901.492883,61209100031
2024-09-09,77.4389,2024,9,0.81622,632.007151,61209100031
2024-09-09,74.626,2024,9,0.09786,128.711166,61209100051
2024-09-09,58.5163,2024,9,0.09704,2014.562043,61207000171
2024-09-09,55.8914,2024,9,0.09407,1381.527778,61207000161
2024-09-14,56.3344,2024,9,0.13407,43.171379,61207000161
2024-09-14,58.3006,2024,9,0.09365,403.078806,61207000171
2024-09-14,77.5706,2024,9,0.09134,807.235263,61209100031
2024-09-14,75.1409,2024,9,0.10283,89.161406,61209100051
2024-09-30,78.6261,2024,9,0.78992,580.310789,61209100031
2024-09-30,76.8741,2024,9,0.09462,178.935782,61209100051
2024-09-30,59.5337,2024,9,0.10133,1912.408132,61207000171
2024-09-30,56.7542,2024,9,0.09173,1523.602737,61207000161
2024-10-05,56.394,2024,10,0.43634,5.492923,61207000161
2024-10-05,59.0072,2024,10,0.16899,359.400834,61207000171
2024-10-05,75.3826,2024,10,0.12749,62.671975,61209100051
2024-10-05,78.1926,2024,10,0.09112,927.450672,61209100031
2024-10-21,75.8583,2024,10,0.09456,175.247461,61209100051
2024-10-21,78.2634,2024,10,0.8167,658.597723,61209100031
2024-10-21,58.8526,2024,10,0.10475,2307.516578,61207000171
